date,state,district,pincode,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater,total_5_17
2026-02-01,Maharashtra,Mumbai Suburban,400029,2,0,0,3,1,0,0,2
2026-02-01,Maharashtra,Mumbai Suburban,400053,10,5,4,31,2,5,0,14
2026-02-01,Maharashtra,Mumbai Suburban,400058,15,8,2,25,3,0,0,17
2026-02-01,Maharashtra,Mumbai Suburban,400060,13,7,5,20,4,1,0,18
2026-02-01,Maharashtra,Mumbai Suburban,400065,12,7,3,25,1,0,0,15
2026-02-01,Maharashtra,Mumbai Suburban,400068,13,6,6,53,5,2,0,19
2026-02-01,Maharashtra,Mumbai Suburban,400070,34,16,7,46,5,1,0,41
2026-02-01,Maharashtra,Mumbai Suburban,400072,75,26,8,59,11,6,1,83
2026-02-01,Maharashtra,Mumbai Suburban,400076,8,7,1,16,1,0,0,9
2026-02-01,Maharashtra,Mumbai Suburban,400080,22,9,9,43,2,1,0,31
2026-02-01,Maharashtra,Mumbai Suburban,400081,13,3,8,20,1,2,0,21
2026-02-01,Maharashtra,Mumbai Suburban,400103,12,2,2,15,1,0,0,14
2026-02-01,Maharashtra,Mumbai Suburban,400104,15,14,3,50,11,2,0,18
2026-01-01,Maharashtra,Mumbai Suburban,400024,11,5,0,2,1,0,0,11
2026-01-01,Maharashtra,Mumbai Suburban,400057,7,1,0,7,2,1,0,7
2026-01-01,Maharashtra,Mumbai Suburban,400058,22,9,1,19,8,2,0,23
2026-01-01,Maharashtra,Mumbai Suburban,400068,26,18,1,16,6,1,0,27
2026-01-01,Maharashtra,Mumbai Suburban,400072,91,36,6,34,12,5,0,97
2026-01-01,Maharashtra,Mumbai Suburban,400074,54,21,1,10,4,3,0,55
2026-01-01,Maharashtra,Mumbai Suburban,400075,14,5,3,8,6,1,0,17
2026-01-01,Maharashtra,Mumbai Suburban,400081,16,4,1,9,2,1,0,17
2026-01-01,Maharashtra,Mumbai Suburban,400083,21,22,0,9,2,2,0,21
2026-01-01,Maharashtra,Mumbai Suburban,400089,25,13,0,9,4,1,0,25
2026-01-01,Maharashtra,Mumbai Suburban,400091,7,5,1,4,2,0,0,8
2026-03-01,Maharashtra,Mumbai Suburban,400043,19,13,1,9,0,3,0,20
2026-03-01,Maharashtra,Mumbai Suburban,400058,2,2,0,3,1,1,0,2
2026-03-01,Maharashtra,Mumbai Suburban,400063,1,1,0,2,0,2,0,1
2026-03-01,Maharashtra,Mumbai Suburban,400097,10,4,2,8,0,1,0,12
2025-11-11,Maharashtra,Mumbai Suburban,400091,1,13,1,13,0,1,0,2
2025-02-11,Maharashtra,Mumbai Suburban,400091,0,3,0,3,1,2,0,0
2025-02-11,Maharashtra,Mumbai Suburban,400099,0,13,0,13,4,0,0,0
2025-05-11,Maharashtra,Mumbai Suburban,400053,1,14,1,14,2,1,0,2
2025-09-11,Maharashtra,Mumbai Suburban,400049,0,1,0,1,1,1,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400055,0,8,0,8,3,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400056,0,1,0,1,2,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400061,0,6,0,6,1,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400081,0,2,0,2,1,0,0,0
2025-01-05,Maharashtra,Mumbai Suburban,400072,412,373,161,1040,96,45,52,573
2025-06-11,Maharashtra,Mumbai Suburban,400050,15,19,2,21,1,1,0,17
2025-06-11,Maharashtra,Mumbai Suburban,400066,90,11,2,39,2,0,0,92
2025-06-11,Maharashtra,Mumbai Suburban,400070,50,29,5,54,5,0,0,55
2025-06-11,Maharashtra,Mumbai Suburban,400083,16,11,1,25,0,1,0,17
2025-06-11,Maharashtra,Mumbai Suburban,400088,14,9,3,31,1,2,0,17
2025-06-11,Maharashtra,Mumbai Suburban,400101,76,21,9,46,1,0,1,85
2025-06-11,Maharashtra,Mumbai Suburban,400102,11,19,3,38,1,1,0,14
2025-03-11,Maharashtra,Mumbai Suburban,400050,10,17,2,19,2,0,0,12
2025-03-11,Maharashtra,Mumbai Suburban,400066,24,9,2,20,2,1,0,26
2025-03-11,Maharashtra,Mumbai Suburban,400071,10,12,2,25,2,1,0,12
2025-03-11,Maharashtra,Mumbai Suburban,400081,4,3,1,6,1,0,0,5
2025-03-11,Maharashtra,Mumbai Suburban,400086,29,13,4,27,3,0,0,33
2025-10-11,Maharashtra,Mumbai Suburban,400050,12,17,1,11,3,0,0,13
2025-10-11,Maharashtra,Mumbai Suburban,400063,14,5,1,14,4,0,0,15
2025-10-11,Maharashtra,Mumbai Suburban,400079,7,4,2,17,1,0,0,9
2025-10-11,Maharashtra,Mumbai Suburban,400083,21,18,3,13,6,1,0,24
2025-10-11,Maharashtra,Mumbai Suburban,400088,8,17,3,21,2,1,1,11
2025-09-11,Maharashtra,Mumbai Suburban,400042,2,1,0,2,2,1,0,2
2025-09-11,Maharashtra,Mumbai Suburban,400051,0,1,0,10,7,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400080,2,0,1,16,2,0,0,3
2025-09-11,Maharashtra,Mumbai Suburban,400087,2,0,0,2,1,0,0,2
2025-09-11,Maharashtra,Mumbai Suburban,400093,1,4,0,12,5,0,0,1
2025-09-11,Maharashtra,Mumbai Suburban,400097,9,8,3,24,4,1,0,12
2025-09-11,Maharashtra,Mumbai Suburban,400104,1,0,1,18,1,1,0,2
2025-11-11,Maharashtra,Mumbai Suburban,400029,5,0,2,5,1,0,0,7
2025-11-11,Maharashtra,Mumbai Suburban,400058,9,7,2,26,3,0,0,11
2025-11-11,Maharashtra,Mumbai Suburban,400065,8,4,1,21,1,0,0,9
2025-11-11,Maharashtra,Mumbai Suburban,400068,15,23,6,71,3,1,0,21
2025-11-11,Maharashtra,Mumbai Suburban,400089,7,7,1,16,1,0,0,8
2025-11-11,Maharashtra,Mumbai Suburban,400094,2,2,1,4,1,0,0,3
2025-12-11,Maharashtra,Mumbai Suburban,400024,3,11,1,11,1,0,0,4
2025-12-11,Maharashtra,Mumbai Suburban,400056,4,2,0,8,1,0,0,4
2025-12-11,Maharashtra,Mumbai Suburban,400067,24,28,5,55,5,2,0,29
2025-12-11,Maharashtra,Mumbai Suburban,400070,98,26,2,35,8,1,1,100
2025-12-11,Maharashtra,Mumbai Suburban,400071,15,10,1,19,2,1,0,16
2025-12-11,Maharashtra,Mumbai Suburban,400086,40,11,5,27,0,2,0,45
2025-12-11,Maharashtra,Mumbai Suburban,400097,32,30,5,43,1,0,0,37
2025-05-11,Maharashtra,Mumbai Suburban,400059,8,4,1,8,1,0,0,9
2025-05-11,Maharashtra,Mumbai Suburban,400066,2,2,0,21,2,1,0,2
2025-05-11,Maharashtra,Mumbai Suburban,400075,0,3,5,21,1,2,0,5
2025-05-11,Maharashtra,Mumbai Suburban,400084,3,1,1,4,2,0,0,4
2025-05-11,Maharashtra,Mumbai Suburban,400099,4,2,0,10,2,0,0,4
2025-05-11,Maharashtra,Mumbai Suburban,400104,10,5,1,42,7,1,0,11
2025-02-11,Maharashtra,Mumbai Suburban,400055,0,1,0,2,7,0,0,0
2025-02-11,Maharashtra,Mumbai Suburban,400060,1,0,1,5,4,0,0,2
2025-02-11,Maharashtra,Mumbai Suburban,400066,1,0,1,12,8,0,0,2
2025-02-11,Maharashtra,Mumbai Suburban,400071,8,2,0,9,12,2,0,8
2025-02-11,Maharashtra,Mumbai Suburban,400083,0,4,3,7,10,1,0,3
2025-02-11,Maharashtra,Mumbai Suburban,400088,2,1,1,12,8,3,0,3
2025-02-11,Maharashtra,Mumbai Suburban,400095,2,10,4,21,18,2,0,6
2025-02-11,Maharashtra,Mumbai Suburban,400101,15,19,5,33,12,5,0,20
2025-01-11,Maharashtra,Mumbai Suburban,400050,4,1,0,3,0,1,0,4
2025-01-11,Maharashtra,Mumbai Suburban,400051,6,7,3,23,1,1,0,9
2025-01-11,Maharashtra,Mumbai Suburban,400086,31,13,4,26,1,0,0,35
2025-01-11,Maharashtra,Mumbai Suburban,400099,6,3,0,16,1,0,0,6
2025-01-11,Maharashtra,Mumbai Suburban,400101,42,15,1,43,1,0,0,43
2025-08-11,Maharashtra,Mumbai Suburban,400042,8,6,2,20,2,1,0,10
2025-08-11,Maharashtra,Mumbai Suburban,400043,51,49,9,78,10,3,0,60
2025-08-11,Maharashtra,Mumbai Suburban,400051,22,1,0,24,2,2,0,22
2025-08-11,Maharashtra,Mumbai Suburban,400060,25,13,2,27,2,0,0,27
2025-08-11,Maharashtra,Mumbai Suburban,400069,11,9,0,6,1,0,0,11
2025-08-11,Maharashtra,Mumbai Suburban,400071,13,11,6,23,2,0,0,19
2025-08-11,Maharashtra,Mumbai Suburban,400075,6,2,4,18,1,0,0,10
2025-08-11,Maharashtra,Mumbai Suburban,400078,62,12,4,41,3,0,0,66
2025-08-11,Maharashtra,Mumbai Suburban,400084,24,5,1,10,0,1,0,25
2025-08-11,Maharashtra,Mumbai Suburban,400086,19,8,4,24,1,1,0,23
2025-08-11,Maharashtra,Mumbai Suburban,400089,13,7,0,17,1,0,0,13
2025-08-11,Maharashtra,Mumbai Suburban,400093,21,12,3,18,2,1,0,24
2025-08-11,Maharashtra,Mumbai Suburban,400097,41,19,11,42,2,0,0,52
2025-08-11,Maharashtra,Mumbai Suburban,400104,29,16,2,21,3,0,0,31
2025-07-11,Maharashtra,Mumbai Suburban,400051,22,20,1,26,1,1,0,23
2025-07-11,Maharashtra,Mumbai Suburban,400063,29,8,0,18,1,1,0,29
2025-07-11,Maharashtra,Mumbai Suburban,400064,10,8,2,29,3,0,0,12
2025-07-11,Maharashtra,Mumbai Suburban,400072,25,15,5,53,8,4,0,30
2025-07-11,Maharashtra,Mumbai Suburban,400080,22,14,4,41,11,1,1,26
